year_str,(All),,,,,,,,,,,,,,,2012-Q4,149,728,"1,024",78,,2012-Q4,109 MM,6243 MM,473 MM,2537 MM,,Wayra, 	34 ,,Newark, 	58 ,,Phoenix," $	391,416,337 ",,Apps,70,,Security," $	534,072,797 ",,South Korea,33,,,,
,,,,,,,,,,,,,,,,2013-Q1,210,876,"1,474",130,,2013-Q1,97 MM,7442 MM,733 MM,3851 MM,,Lightspeed Venture Partners, 	34 ,,Pittsburgh, 	58 ,,Mumbai," $	385,029,896 ",,Consulting,59,,Semiconductors," $	527,108,492 ",,Bulgaria,30,,,,
Sum of value,Column Labels,,,,,,,,,,,,,,,2013-Q2,177,"1,006","1,315",194,,2013-Q2,119 MM,8292 MM,701 MM,5368 MM,,DreamIt Ventures, 	33 ,,Philadelphia, 	57 ,,Toronto," $	370,041,641 ",,Medical,59,,Fashion," $	526,242,205 ",,Denmark,28,,,,
Row Labels,Rounds,Profiles,Total Rounds,Total Entities,,,,,,,,,,,,2013-Q3,193,"1,057","1,561",201,,2013-Q3,109 MM,9260 MM,848 MM,8757 MM,,,,,,,,,,,,,,,,,,,,,,
2007-Q2, 	65 , 	340 , 	65 , 	340 ,,,,,,,,,,,,2013-Q4,179,"1,072","1,246",114,,2013-Q4,83 MM,10582 MM,757 MM,6810 MM,,,,,,,,,,,,,,,,,,,,,,
2007-Q3, 	522 ," 	3,025 ", 	587 ," 	3,365 ",,,,,,,,,,,,2014-Q1,216,"1,223","1,256",100,,2014-Q1,141 MM,13836 MM,810 MM,5861 MM,,,,,,,,,,,,,,,,,,,,,,
2007-Q4, 	429 ," 	2,370 "," 	1,016 "," 	5,735 ",,,,,,,,,,,,2014-Q2,145,"1,755","1,000",75,,2014-Q2,112 MM,21223 MM,604 MM,6568 MM,,,,,,,,,,,,,,,,,,,,,,
2008-Q1, 	670 ," 	6,450 "," 	1,686 "," 	12,185 ",,,,,,,,,,,,2014-Q3,102,"1,238",831,50,,2014-Q3,50 MM,14235 MM,480 MM,9958 MM,,,,,,,,,,,,,,,,,,,,,,
2008-Q2, 	778 ," 	8,606 "," 	2,464 "," 	20,791 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3, 	650 ," 	7,946 "," 	3,114 "," 	28,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4, 	702 ," 	12,046 "," 	3,816 "," 	40,783 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1, 	989 ," 	9,819 "," 	4,805 "," 	50,602 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2," 	1,424 "," 	12,393 "," 	6,229 "," 	62,995 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3," 	1,711 "," 	11,708 "," 	7,940 "," 	74,703 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4," 	1,625 "," 	11,165 "," 	9,565 "," 	85,868 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1," 	2,614 "," 	12,315 "," 	12,179 "," 	98,183 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2," 	2,637 "," 	11,597 "," 	14,816 "," 	109,780 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3," 	1,896 "," 	14,651 "," 	16,712 "," 	124,431 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4," 	1,904 "," 	14,885 "," 	18,616 "," 	139,316 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1," 	1,327 "," 	14,895 "," 	19,943 "," 	154,211 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2," 	1,450 "," 	14,703 "," 	21,393 "," 	168,914 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3," 	1,551 "," 	15,356 "," 	22,944 "," 	184,270 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4," 	1,371 "," 	12,780 "," 	24,315 "," 	197,050 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1," 	1,473 "," 	13,155 "," 	25,788 "," 	210,205 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2," 	1,757 "," 	16,381 "," 	27,545 "," 	226,586 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3," 	1,643 "," 	17,635 "," 	29,188 "," 	244,221 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4," 	1,372 "," 	17,216 "," 	30,560 "," 	261,437 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1," 	1,865 "," 	20,974 "," 	32,425 "," 	282,411 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2," 	3,866 "," 	55,459 "," 	36,291 "," 	337,870 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3," 	7,657 "," 	66,891 "," 	43,948 "," 	404,761 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q4," 	8,126 "," 	54,992 "," 	52,074 "," 	459,753 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1," 	10,568 "," 	63,866 "," 	62,642 "," 	523,619 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2," 	8,018 "," 	57,808 "," 	70,660 "," 	581,427 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3," 	7,741 "," 	45,665 "," 	78,401 "," 	627,092 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
